Date,Equity
2023-10-20,172020.4297406551
2023-10-23,171595.6754754525
2023-10-24,171791.37377565057
2023-10-25,171046.90918579287
2023-10-26,171508.94554695563
2023-10-27,171732.37649397322
2023-10-30,171861.0978358147
2023-10-31,172315.28533467007
2023-11-01,173086.1744276294
2023-11-02,173573.71959129124
2023-11-03,172719.37092912983
2023-11-06,172146.2731663172
2023-11-07,171879.41184786533
2023-11-08,171905.96716533872
2023-11-09,172152.55225616315
2023-11-10,171840.0367219565
2023-11-13,171938.40912954268
2023-11-14,171614.77437373388
2023-11-15,171358.50901939697
2023-11-16,170755.06232232906
2023-11-17,170372.03784172752
2023-11-20,169812.2831448375
2023-11-21,169419.84002946707
2023-11-22,169865.91703727146
2023-11-23,169483.93907164424
2023-11-24,170580.29432161743
2023-11-27,170805.68748421184
2023-11-28,170899.74301752896
2023-11-29,170542.88141128543
2023-11-30,170856.18183172285
2023-12-01,170622.02410621848
2023-12-04,170688.60862145966
2023-12-05,171802.10055413735
2023-12-06,171774.10627857427
2023-12-07,172301.15738251674
2023-12-08,171997.40641122003
2023-12-11,171996.62152498928
2023-12-12,172806.75492948564
2023-12-13,172532.96044932888
2023-12-14,173376.5823330035
2023-12-15,173724.67937633707
2023-12-18,173473.3849681282
2023-12-19,173787.07783168097
2023-12-20,174265.7276180611
2023-12-21,174582.16758342145
2023-12-22,173832.47041869216
2023-12-25,173501.77168680666
2023-12-26,173400.78299178468
2023-12-27,173381.55327913153
2023-12-28,173688.70542409478
2023-12-29,173788.90923288604
2024-01-01,173169.24155371613
2024-01-02,173362.19275210658
2024-01-03,173664.5047653136
2024-01-04,173945.62485029062
2024-01-05,174478.4317865919
2024-01-08,174900.1773212433
2024-01-09,175142.7071665422
2024-01-10,175124.5239688634
2024-01-11,174317.26848054642
2024-01-12,174541.22268505115
2024-01-15,174658.6939909187
2024-01-16,174807.82237475945
2024-01-17,174197.05007287127
2024-01-18,173692.10659776133
2024-01-19,174207.5152226145
2024-01-22,174204.50649206332
2024-01-23,174549.20236173033
2024-01-24,174579.15885287029
2024-01-25,174609.90023024098
2024-01-26,176237.36182968214
2024-01-29,177864.6926147515
2024-01-30,179492.02339982087
2024-01-31,181119.35418489025
2024-02-01,182746.6849699596
2024-02-02,181770.286498918
2024-02-05,180793.88802787638
2024-02-06,179817.48955683474
2024-02-07,178841.09108579313
2024-02-08,177864.6926147515
2024-02-09,176888.29414370988
2024-02-12,175911.89567266827
2024-02-13,174935.49720162663
2024-02-14,174271.45191604018
2024-02-15,171244.65391793195
2024-02-16,173766.950403837
2024-02-19,176289.246889742
2024-02-20,178811.8830897701
2024-02-21,181334.1795756751
2024-02-22,183856.47606158015
2024-02-23,186378.77254748516
2024-02-26,188901.06903339017
2024-02-27,191423.43587766553
2024-02-28,193945.73236357057
2024-02-29,196468.0288494756
2024-03-01,198990.32533538062
2024-03-04,201512.62182128563
2024-03-05,203327.729113322
2024-03-06,204141.3945058567
2024-03-07,204955.0598983914
2024-03-08,195582.3799921895
2024-03-11,196890.3046818505
